sku,name,part_number,use_config_manage_stock,manage_stock,use_config_max_sale_qty,max_cart_qty,price
GTCS-SCM435-BO-8-6,BLACK ULTRA LOW HEAD CAP SCREW  8 X 6,GTCS08006,0,0,0,400,45
GTCS-SCM435-BO-8-8,BLACK ULTRA LOW HEAD CAP SCREW  8 X 8,GTCS08008,0,0,0,400,44
GTCS-SCM435-BO-8-10,BLACK ULTRA LOW HEAD CAP SCREW  8 X 10,GTCS08010,0,0,0,400,43
GTCS-SCM435-BO-8-12,BLACK ULTRA LOW HEAD CAP SCREW  8 X 12,GTCS08012,0,0,0,400,32
GTCS-SCM435-BO-8-14,BLACK ULTRA LOW HEAD CAP SCREW  8 X 14,GTCS08014,0,0,0,400,33
GTCS-SCM435-BO-8-15,BLACK ULTRA LOW HEAD CAP SCREW  8 X 15,GTCS08015,0,0,0,400,33
GTCS-SCM435-BO-8-16,BLACK ULTRA LOW HEAD CAP SCREW  8 X 16,GTCS08016,0,0,0,400,34
GTCS-SCM435-BO-8-18,BLACK ULTRA LOW HEAD CAP SCREW  8 X 18,GTCS08018,0,0,0,400,34
GTCS-SCM435-BO-8-20,BLACK ULTRA LOW HEAD CAP SCREW  8 X 20,GTCS08020,0,0,0,400,34
GTCS-SCM435-BO-8-25,BLACK ULTRA LOW HEAD CAP SCREW  8 X 25,GTCS08025,0,0,0,200,35
GTCS-SCM435-BO-8-30,BLACK ULTRA LOW HEAD CAP SCREW  8 X 30,GTCS08030,0,0,0,200,38
GTCS-SCM435-BO-8-35,BLACK ULTRA LOW HEAD CAP SCREW  8 X 35,GTCS08035,0,0,0,200,42
GTCS-SCM435-BO-8-40,BLACK ULTRA LOW HEAD CAP SCREW  8 X 40,GTCS08040,0,0,0,200,45
GTCS-SCM435-BO-8-45,BLACK ULTRA LOW HEAD CAP SCREW  8 X 45,GTCS08045,0,0,0,200,55
GTCS-SCM435-BO-8-50,BLACK ULTRA LOW HEAD CAP SCREW  8 X 50,GTCS08050,0,0,0,200,59
GTCS-SCM435-BO-8-55,BLACK ULTRA LOW HEAD CAP SCREW  8 X 55,GTCS08055,0,0,0,200,62
GTCS-SCM435-BO-8-60,BLACK ULTRA LOW HEAD CAP SCREW  8 X 60,GTCS08060,0,0,0,160,67
GTCS-SCM435-BO-10-10,BLACK ULTRA LOW HEAD CAP SCREW  10 X 10,GTCS10010,0,0,0,200,56
GTCS-SCM435-BO-10-12,BLACK ULTRA LOW HEAD CAP SCREW  10 X 12,GTCS10012,0,0,0,400,49
GTCS-SCM435-BO-10-14,BLACK ULTRA LOW HEAD CAP SCREW  10 X 14,GTCS10014,0,0,0,200,40
GTCS-SCM435-BO-10-15,BLACK ULTRA LOW HEAD CAP SCREW  10 X 15,GTCS10015,0,0,0,200,41
GTCS-SCM435-BO-10-16,BLACK ULTRA LOW HEAD CAP SCREW  10 X 16,GTCS10016,0,0,0,200,41
GTCS-SCM435-BO-10-18,BLACK ULTRA LOW HEAD CAP SCREW  10 X 18,GTCS10018,0,0,0,200,42
GTCS-SCM435-BO-10-20,BLACK ULTRA LOW HEAD CAP SCREW  10 X 20,GTCS10020,0,0,0,200,42
GTCS-SCM435-BO-10-25,BLACK ULTRA LOW HEAD CAP SCREW  10 X 25,GTCS10025,0,0,0,200,43
GTCS-SCM435-BO-10-30,BLACK ULTRA LOW HEAD CAP SCREW  10 X 30,GTCS10030,0,0,0,200,48
GTCS-SCM435-BO-10-35,BLACK ULTRA LOW HEAD CAP SCREW  10 X 35,GTCS10035,0,0,0,200,53
GTCS-SCM435-BO-10-40,BLACK ULTRA LOW HEAD CAP SCREW  10 X 40,GTCS10040,0,0,0,200,63
GTCS-SCM435-BO-10-45,BLACK ULTRA LOW HEAD CAP SCREW  10 X 45,GTCS10045,0,0,0,160,70
GTCS-SCM435-BO-10-50,BLACK ULTRA LOW HEAD CAP SCREW  10 X 50,GTCS10050,0,0,0,160,79
GTCS-SCM435-BO-10-55,BLACK ULTRA LOW HEAD CAP SCREW  10 X 55,GTCS10055,0,0,0,140,86
